type,address,price,beds,baths,sqft,acres,description,mlsNumber,zillowUrl,image,soldPrice,soldDate
active,"4230 Saunter Drive, Colorado Springs, CO 80908",549990,4,4,2743,0.16,"Beautifully updated Briargate home in sought-after Gatehouse Village, Academy District 20. Open floor plan with vaulted ceilings, stainless appliances, remodeled primary bath, and a rare finished walk-out basement. New roof (2025), A/C (2022), rebuilt deck, fresh paint, and new carpet. Mature backyard with garden beds and raspberry bushes. Move-in ready.",6742332,https://www.zillow.com/homedetails/4239-Saunter-Dr-Colorado-Springs-CO-80920/13561806_zpid/,SaunterHouseAtNight.jpg,,
sold,"6572 Emerald Isl Hts, Colorado Springs, CO",357500,3,2,1800,0,"Beautifully maintained townhome with great views, upgraded kitchen cabinetry, remodeled master bath, and a spacious deck above the two-car garage. New complex roof (2022). Minutes from Cottonwood Park, the Powers corridor, I-25, the Air Force Academy, and Peterson Space Force Base.",8380057,https://www.zillow.com/homedetails/6572-Emerald-Isle-Hts-Colorado-Springs-CO-80923/119309420_zpid/,EmeraldHeights.jpg,357500,May 14 2025
